先发制人|25%
魔像输出最大化|60%
龙种输出最大化|60%
魔兽输出最大化|60%
幸运之星|25%
紧急治疗|50%
冥想|40%
铁处女|40%
轻盈气流|50%
咆哮|40%
清风瓦潘戈|40%
凝视|40%
恐吓|40%
恫吓|40%
黑色黏液|40%
血色绷带|40%
魔女的微笑|40%
美人回首|25%
亡者的叹息|40%
锐利视线|40%
威吓|40%
气流共振|40%
地能共振|40%
雷电共振|40%
水波共振|40%
烈火共振|40%
冰霜共振|40%
光芒共振|40%
暗影共振|40%
水帘|25%
提前反制|25%
鹰眼|40%
恶魔克星|60%
一刀一闪|25%
躲避|30%
坚若磐石|25%
射程扩张|25%
公主殿下心血来潮|50%
姐姐要出招啦|25%
守卫之力|25%
风之聚舞|40%
祈祷|30%
魔像克星|60%
MP温存|25%
WT温存|25%
神圣之刃|30%
救世主|25%
心眼|30%
星尘恩宠|50%
速度之星|25%
精神统一|25%
圣母的慈悲|50%
圣母的祝祷|25%
精灵的引导|25%
动人歌声|25%
悠扬歌声|25%
冲刺|25%
龙之瞳|25%
龙鳞盾|25%
龙种克星|60%
狂暴|25%
偷袭|25%
麻痹利刃|30%
魔兽克星|60%
猛袭|40%
列阵|25%
不坏金刚|25%
破除诅咒|50%
拓宽之力|25%
高速切换|40%
无神论|30%
风险转嫁|25%
反射|40%
龙种驱退|30%
魔兽驱退|30%
金城汤池|30%
精神集中|40%
烟雾弹|30%
